Selección,Goles a Favor,Goles en Contra,Tarjetas Amarillas,Tarjetas Rojas,Saques de Esquina,Elo Rating
Argentina,8,1,4,0,22,2148
Francia,10,2,5,0,17,2123
España,5,0,6,0,21,2144
México,6,0,7,1,16,1912
Brasil,7,1,4,0,18,2009
Portugal,6,1,3,0,15,1990
Colombia,4,1,5,0,18,2004
Países Bajos,10,4,3,0,15,1980
Estados Unidos,8,4,4,0,20,1781
Alemania,10,4,3,0,19,1916
Canadá,8,5,5,0,25,1764
Suiza,7,4,5,0,16,1914
Inglaterra,6,2,4,0,19,2038
Japón,7,3,4,0,14,1910
Marruecos,6,3,5,0,13,1877
Costa de Marfil,4,2,8,0,11,1743
Croacia,5,5,6,0,12,1905
Austria,6,6,7,0,16,1836
Bélgica,6,2,6,0,14,1884
Egipto,5,3,5,0,10,1742
Noruega,8,7,5,0,14,1918
Australia,2,2,6,0,12,1800
RD Congo,4,3,8,0,8,1712
Suecia,7,7,4,0,15,1742
Ghana,2,2,7,0,13,1575
Ecuador,2,2,6,0,13,1902
Bosnia y Herzegovina,5,6,7,0,10,1622
Argelia,5,7,9,0,14,1785
Paraguay,2,4,8,1,8,1815
Senegal,8,6,5,0,11,1842
Sudáfrica,2,3,6,2,9,1559
Cabo Verde,2,2,6,0,10,1622
